year,age,sex,death_probability,lives,life_expectancy
2019,0,male,0.006081,100000,76.22
2019,0,female,0.005046,100000,81.28
2019,1,male,0.000425,99392,75.69
2019,1,female,0.000349,99495,80.69
2019,2,male,0.000260,99350,74.72
2019,2,female,0.000212,99461,79.72
2019,3,male,0.000194,99324,73.74
2019,3,female,0.000166,99440,78.73
2019,4,male,0.000154,99305,72.76
2019,4,female,0.000137,99423,77.75
2019,5,male,0.000142,99289,71.77
2019,5,female,0.000122,99409,76.76
2019,6,male,0.000135,99275,70.78
2019,6,female,0.000111,99397,75.77
2019,7,male,0.000127,99262,69.79
2019,7,female,0.000103,99386,74.77
2019,8,male,0.000116,99249,68.79
2019,8,female,0.000098,99376,73.78
2019,9,male,0.000104,99238,67.80
2019,9,female,0.000095,99366,72.79
2019,10,male,0.000097,99227,66.81
2019,10,female,0.000095,99357,71.80
2019,11,male,0.000106,99218,65.82
2019,11,female,0.000102,99348,70.80
2019,12,male,0.000144,99207,64.82
2019,12,female,0.000116,99337,69.81
2019,13,male,0.000220,99193,63.83
2019,13,female,0.000139,99326,68.82
2019,14,male,0.000323,99171,62.85
2019,14,female,0.000170,99312,67.83
2019,15,male,0.000437,99139,61.87
2019,15,female,0.000204,99295,66.84
2019,16,male,0.000552,99096,60.89
2019,16,female,0.000240,99275,65.85
2019,17,male,0.000675,99041,59.93
2019,17,female,0.000278,99251,64.87
2019,18,male,0.000806,98974,58.97
2019,18,female,0.000319,99224,63.89
2019,19,male,0.000939,98894,58.01
2019,19,female,0.000360,99192,62.91
2019,20,male,0.001079,98802,57.07
2019,20,female,0.000405,99156,61.93
2019,21,male,0.001215,98695,56.13
2019,21,female,0.000451,99116,60.95
2019,22,male,0.001327,98575,55.20
2019,22,female,0.000491,99071,59.98
2019,23,male,0.001406,98444,54.27
2019,23,female,0.000523,99023,59.01
2019,24,male,0.001461,98306,53.35
2019,24,female,0.000549,98971,58.04
2019,25,male,0.001507,98162,52.42
2019,25,female,0.000574,98917,57.07
2019,26,male,0.001557,98014,51.50
2019,26,female,0.000604,98860,56.11
2019,27,male,0.001610,97862,50.58
2019,27,female,0.000642,98800,55.14
2019,28,male,0.001668,97704,49.66
2019,28,female,0.000690,98737,54.17
2019,29,male,0.001732,97541,48.74
2019,29,female,0.000748,98669,53.21
2019,30,male,0.001795,97372,47.83
2019,30,female,0.000810,98595,52.25
2019,31,male,0.001858,97198,46.91
2019,31,female,0.000871,98515,51.29
2019,32,male,0.001923,97017,46.00
2019,32,female,0.000931,98429,50.34
2019,33,male,0.001992,96830,45.09
2019,33,female,0.000988,98337,49.38
2019,34,male,0.002064,96638,44.18
2019,34,female,0.001044,98240,48.43
2019,35,male,0.002145,96438,43.27
2019,35,female,0.001105,98138,47.48
2019,36,male,0.002231,96231,42.36
2019,36,female,0.001171,98029,46.53
2019,37,male,0.002316,96017,41.45
2019,37,female,0.001235,97914,45.59
2019,38,male,0.002398,95794,40.55
2019,38,female,0.001295,97793,44.64
2019,39,male,0.002482,95564,39.64
2019,39,female,0.001356,97667,43.70
2019,40,male,0.002580,95327,38.74
2019,40,female,0.001422,97534,42.76
2019,41,male,0.002697,95081,37.84
2019,41,female,0.001501,97396,41.82
2019,42,male,0.002828,94825,36.94
2019,42,female,0.001596,97249,40.88
2019,43,male,0.002976,94557,36.04
2019,43,female,0.001709,97094,39.95
2019,44,male,0.003146,94275,35.15
2019,44,female,0.001841,96928,39.01
2019,45,male,0.003340,93979,34.26
2019,45,female,0.001989,96750,38.08
2019,46,male,0.003567,93665,33.37
2019,46,female,0.002153,96557,37.16
2019,47,male,0.003833,93331,32.49
2019,47,female,0.002333,96350,36.24
2019,48,male,0.004143,92973,31.61
2019,48,female,0.002530,96125,35.32
2019,49,male,0.004499,92588,30.74
2019,49,female,0.002746,95882,34.41
2019,50,male,0.004890,92171,29.88
2019,50,female,0.002981,95618,33.50
2019,51,male,0.005321,91720,29.02
2019,51,female,0.003241,95333,32.60
2019,52,male,0.005810,91232,28.18
2019,52,female,0.003530,95024,31.71
2019,53,male,0.006363,90702,27.34
2019,53,female,0.003853,94689,30.82
2019,54,male,0.006973,90125,26.51
2019,54,female,0.004208,94324,29.93
2019,55,male,0.007629,89497,25.69
2019,55,female,0.004591,93927,29.06
2019,56,male,0.008322,88814,24.89
2019,56,female,0.004997,93496,28.19
2019,57,male,0.009049,88075,24.09
2019,57,female,0.005426,93029,27.33
2019,58,male,0.009806,87278,23.31
2019,58,female,0.005876,92524,26.48
2019,59,male,0.010595,86422,22.53
2019,59,female,0.006348,91980,25.63
2019,60,male,0.011452,85506,21.77
2019,60,female,0.006883,91396,24.79
2019,61,male,0.012358,84527,21.01
2019,61,female,0.007457,90767,23.96
2019,62,male,0.013255,83482,20.27
2019,62,female,0.008010,90090,23.14
2019,63,male,0.014126,82376,19.54
2019,63,female,0.008520,89369,22.32
2019,64,male,0.015006,81212,18.81
2019,64,female,0.009031,88607,21.51
2019,65,male,0.016001,79994,18.09
2019,65,female,0.009617,87807,20.70
2019,66,male,0.017124,78714,17.37
2019,66,female,0.010328,86963,19.89
2019,67,male,0.018298,77366,16.67
2019,67,female,0.011167,86065,19.10
2019,68,male,0.019519,75950,15.97
2019,68,female,0.012158,85103,18.31
2019,69,male,0.020847,74468,15.28
2019,69,female,0.013312,84069,17.52
2019,70,male,0.022381,72915,14.59
2019,70,female,0.014673,82950,16.75
2019,71,male,0.024185,71283,13.91
2019,71,female,0.016221,81733,16.00
2019,72,male,0.026266,69559,13.25
2019,72,female,0.017905,80407,15.25
2019,73,male,0.028660,67732,12.59
2019,73,female,0.019714,78967,14.52
2019,74,male,0.031401,65791,11.95
2019,74,female,0.021714,77410,13.80
2019,75,male,0.034618,63725,11.32
2019,75,female,0.024080,75729,13.10
2019,76,male,0.038263,61519,10.71
2019,76,female,0.026831,73906,12.41
2019,77,male,0.042190,59165,10.11
2019,77,female,0.029855,71923,11.74
2019,78,male,0.046367,56669,9.54
2019,78,female,0.033151,69776,11.08
2019,79,male,0.050948,54041,8.97
2019,79,female,0.036829,67463,10.45
2019,80,male,0.056237,51288,8.43
2019,80,female,0.041122,64978,9.83
2019,81,male,0.062360,48404,7.90
2019,81,female,0.046102,62306,9.23
2019,82,male,0.069226,45385,7.39
2019,82,female,0.051683,59434,8.65
2019,83,male,0.076884,42243,6.91
2019,83,female,0.057896,56362,8.09
2019,84,male,0.085452,38996,6.44
2019,84,female,0.064863,53099,7.56
2019,85,male,0.095062,35663,6.00
2019,85,female,0.072731,49655,7.05
2019,86,male,0.105829,32273,5.57
2019,86,female,0.081626,46043,6.56
2019,87,male,0.117838,28858,5.17
2019,87,female,0.091644,42285,6.10
2019,88,male,0.131138,25457,4.80
2019,88,female,0.102840,38410,5.67
2019,89,male,0.145751,22119,4.45
2019,89,female,0.115236,34460,5.26
2019,90,male,0.161678,18895,4.12
2019,90,female,0.128837,30489,4.88
2019,91,male,0.178905,15840,3.82
2019,91,female,0.143633,26561,4.52
2019,92,male,0.197408,13006,3.54
2019,92,female,0.159606,22746,4.20
2019,93,male,0.217149,10439,3.29
2019,93,female,0.176731,19115,3.90
2019,94,male,0.238080,8172,3.06
2019,94,female,0.194973,15737,3.63
2019,95,male,0.258821,6226,2.86
2019,95,female,0.213413,12669,3.39
2019,96,male,0.278966,4615,2.69
2019,96,female,0.231752,9965,3.17
2019,97,male,0.298092,3327,2.54
2019,97,female,0.249663,7656,2.98
2019,98,male,0.315762,2336,2.40
2019,98,female,0.266801,5744,2.81
2019,99,male,0.331550,1598,2.28
2019,99,female,0.282809,4212,2.65
2019,100,male,0.348128,1068,2.16
2019,100,female,0.299778,3021,2.49
2019,101,male,0.365534,696,2.05
2019,101,female,0.317765,2115,2.34
2019,102,male,0.383811,442,1.94
2019,102,female,0.336830,1443,2.20
2019,103,male,0.403001,272,1.83
2019,103,female,0.357040,957,2.07
2019,104,male,0.423151,163,1.73
2019,104,female,0.378463,615,1.94
2019,105,male,0.444309,94,1.63
2019,105,female,0.401170,382,1.82
2019,106,male,0.466524,52,1.54
2019,106,female,0.425241,229,1.70
2019,107,male,0.489851,28,1.45
2019,107,female,0.450755,132,1.59
2019,108,male,0.514343,14,1.37
2019,108,female,0.477800,72,1.48
2019,109,male,0.540060,7,1.28
2019,109,female,0.506468,38,1.38
2019,110,male,0.567063,3,1.21
2019,110,female,0.536857,19,1.28
2019,111,male,0.595417,1,1.13
2019,111,female,0.569068,9,1.19
2019,112,male,0.625187,1,1.06
2019,112,female,0.603212,4,1.10
2019,113,male,0.656447,0,0.99
2019,113,female,0.639405,1,1.02
2019,114,male,0.689269,0,0.92
2019,114,female,0.677769,1,0.94
2019,115,male,0.723732,0,0.86
2019,115,female,0.718435,0,0.87
2019,116,male,0.759919,0,0.80
2019,116,female,0.759919,0,0.80
2019,117,male,0.797915,0,0.74
2019,117,female,0.797915,0,0.74
2019,118,male,0.837811,0,0.68
2019,118,female,0.837811,0,0.68
2019,119,male,0.879701,0,0.63
2019,119,female,0.879701,0,0.63
